question,key sentences,keywords,answer,file,page
What is the structure of a Segment Tree used for efficient range queries and modifications?,"We can take a divide-a nd-c onquer approach when it comes  to array segment s.; Each of these two halves in turn are split in half, and so on until all segment s reach size .",Segment Tree; divide-a nd-c onquer; array segment s,The structure of a Segment Tree involves a divide-a nd-c onquer approach where each segment is split into two halves until reaching the desired size.,data/Segment_Tree.pdf,0
What is the time complexity for computing sum queries in a Segment Tree?,"We can view these segment s as forming a binary tree: the root of this tree is the segment   , and each vertex (except leaf vertices) has exactly two child vertices.; This is why the data  O(logn)  O(log2n) 4n n a[0…n−1] l r ∑r i=la[i] a[i]=x",logn; log2n; 4n,O(logn),data/Segment_Tree.pdf,0
What is the structure of a Segment Tree?,"We can take a divide-a nd-c onquer approach when it comes  to array segment s.; We compute and store the sum of the element s of the whole array, i.e. the sum of the segment  .; This is why the data a[l…r]  O(logn) ; Each of these two halves in turn are split in half, and so on until all segment s reach size  .; We can view these segment s as forming a binary tree: the root of this tree is the segment  ,",Segment Tree; divide-a nd-c onquer,"A Segment Tree uses a divide-a nd-c onquer approach to compute and store sums of array segments, resulting in a binary tree structure.",data/Segment_Tree.pdf,0
What is the structure called that only requires a linear number of vertices? ,"structure is called ""Seg ment  Tree"", even though in most implement ations the tree is not constructed explicitly (see Implement ation).",Segment  Tree,Segment  Tree,data/Segment_Tree.pdf,1
What is the value stored at each node in a Segment Tree?,"Before constructing the segment tree, we need to decide: 1. the value that gets stored at each node of the segment tree.; It is present at the lowermost level of a segment tree. Its value would be equal to the a=[1,3,-2,8,-7]",Segment Tree; node value,The value stored at each node in a Segment Tree is the sum of the elements in its range.,data/Segment_Tree.pdf,1
What is the value stored at each node of a Segment Tree?,"Before constructing the segment tree, we need to decide:1. the value that gets stored at each node of the segment tree.; For example, in a sum segment tree, a node would store the sum of the elements in its range.",value; node; Segment Tree,The value stored at each node of a Segment Tree is the sum of the elements in its range.,data/Segment_Tree.pdf,1
What is the time complexity of constructing a segment tree?,"For now we are going to answer sum queries. As an input we receive two integers and, and we have to compute the sum of the segment in time.; To do this, we will traverse the Segment Tree and use the precomputed sums of the segment s.",time complexity; constructing,O(logn),data/Segment_Tree.pdf,2
What is the time complexity for constructing a segment tree?,"Now, for construction of the segment tree, we start at the bottom level (the leaf vertices) and assign them their respective values.; The construction procedure, if called on a non-leaf vertex, does the following: 1. recursively construct the values of the two child vertices 2. merge the computed values of these children.",segment tree; construction,O(n),data/Segment_Tree.pdf,2
What is the time complexity for constructing a segment tree?,"Now, for construction of the segment tree, we start at the bottom level (the leaf vertices) and assign them their respective values.; The construction procedure, if called on a non-leaf vertex, does the following: 1. recursively construct the values of the two child vertices 2. merge the computed values of these children.",time complexity; segment tree,O(n),data/Segment_Tree.pdf,2
Why is the complexity of this algorithm ?,"To show this complexity we look at each level of the tree. It turns out, that for each level we only visit not more than four vertices. And since the height of the tree is , we receive the desired running time.",running time,O(logn),data/Segment_Tree.pdf,3
